additional_information,action,environmental,id,year,reporting_party,recipient_country_region_project_programme,recipient,recipient_continent_or_region,assigned_geography,usd,euro,corrected_usd,status,funding_source,type_of_support,financial_instrument,sector,africa,latin_america_the_caribbean,north_america,middle_east,mediterranean,asia,europe,oceania,global,multicontinent_or_global,continent_unspecified,croatian_kuna,norwegian_krone,japanese_yen,danish_krone,british_pound,american_dollar,swiss_franc,australian_dollar,romanian_leu,swedish_krona,canadian_dollar,new_zealand_dollar,czech_koruna,bulgarian_lev,icelandic_krona,polish_zloty,hungarian_forint
The objective is to recover 15 natural water sources by restoring the aquifers in order to promote agriculture and protect the environment.,1,1,8848,2020,italy,Brazil / Recovery and protection of water sources,brazil,,latin america and the caribbean,11815.13,10346.0,11815.13,Committed,Oda,adaptation,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The objective of the Programme is to assist both the EBRD and its clients in the preparation and implementation of the most appropriate investment programmes or projects that will strengthen energy security with the highest possible resource efficiency and reduced environmental impacts.,1,1,9173,2020,italy,"Europe, regional / Green Economy Transition (GET) Project Preparation and Implementation Framework ",,europe,europe,59384.0,52000.0,59384.0,Committed,Oda,cross-cutting,Grant,Energy,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
The objective of the initiative is to contribute and ensure the improvement of the espected results of the initiative funded by the Italian ODA and in particular of the EU delegated cooperation programme,1,0,9698,2020,italy,"Sudan / Support to the Development of the National Health System of Gedaref, Kassala and Red Sea States and integration with the EU",sudan,,africa,489347.0,428500.0,489347.0,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The objective of the present project is to provide continued funding for the Secretariat of the Investment Council in Albania to equip it with professional staff and other resources required to ensure the effective functioning of the Investment Council.  The main task of the Secretariat is to support the activities of the Council. The objective of the Council is the improvement of the investment climate and business environment.,1,0,8734,2020,italy,Albania / Albania Secretariat to the Investment Council,albania,,europe,30354.82,26580.4,30354.82,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
"The objective of the program “Promoting Africa’s Green and Climate Resilient Development (AGREED)”, is to support the African countries where IMELS has bilateral agreements in place or being negotiated to identify, prepare and seek financing for programs and projects contributing to the implementation of the National Determined Contributions (NDCs) communicated to the UNFCCC, and to climate-resilient, green growth. ",1,1,39004,2017,italy,"Africa / Implementation of promoting Africa Green and climate resilient development (AGREED), contribution through World Bank Group. ",,africa,africa,13528748.59,12000000.0,13528748.59,Committed,ODA,adaptation,Grant,Other (Environmental policy and administrative management),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The objective of the project is the access to drinking water by all those who live in the rural area in question through the excavation of 8 wells, which will improve the water situation quantitatively and qualitatively. The project also provides training for women on the management of wells to ensure their maintenance.",1,1,2916,2019,italy,Guinea / Construction of 8 wells and awareness of the population on the use of water,guinea,,africa,65431.03,58431.0,65431.03,Committed,Oda,adaptation,Grant,Water And Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The objective of the project is to identify and assess any potentially significant future adverse environmental and social impacts associated with the EBRD financing to the Federation of Bosnia and Herzegovina Motorways for the construction of Mostar North - Mostar South section of Corridor Vc, since this is a greenfield project.",0,1,8828,2020,italy,Bosnia And Herzegovina / Mostar North to Mostar South Motorway,bosnia and herzegovina,,europe,83126.18,72790.0,83126.18,Committed,Oda,cross-cutting,Grant,Transport,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
"The objective of the project is to promote the adoption of sustainable agriculture systems among Palestinian communities by increasing the use of treated wastewater for agricultural purposes; this is aimed at increasing and improving production with the aim of contributing to increasing the availability of water for agricultural purposes through the use of non-conventional water, in order to reduce dependence on drinking water and / or fresh water for non-domestic purposes .",1,1,9811,2020,italy,West Bank and Gaza Strip / wastewater for agriculture,"palestine, state of",,asia,37045.34,32439.0,37045.34,Committed,Oda,adaptation,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The objective of the project is to reduce poverty and the root causes of irregular migration through support for the rural economy in the Louga, Saint Louis and Thiès regions, the creation of jobs in the peasant agriculture sector, giving priority to young people and
women and social and ""green"" initiatives, improving access to credit for rural micro businesses and defining the characteristics of social enterprises and enhancing their contribution to the economic, social and cultural development of the territor",1,1,2203,2018,italy,"Senegal / Support for the rural economy in Louga, Saint Louis and Thiès regions",senegal,,africa,2172.37,1840.0,2172.37,Committed,ODA,cross-cutting,Grant,Industry,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The objective of the project is to reduce poverty and the root causes of irregular migration through support for the rural economy in the Louga, Saint Louis and Thiès regions, the creation of jobs in the peasant agriculture sector, giving priority to young people and
women and social and ""green"" initiatives, improving access to credit for rural micro businesses and defining the characteristics of social enterprises and enhancing their contribution to the economic, social and cultural development of the territory",1,1,3044,2019,italy,"Senegal / Program of support for social enterprise and migrant initiative in the regions of Saint Louis, Louga and Thiès in Senegal",senegal,,africa,2060.43,1840.0,2060.43,Committed,Oda,cross-cutting,Grant,Industry,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The objective of the project is to reduce poverty and the root causes of irregular migration through support for the rural economy in the Louga, Saint Louis and Thiès regions, the creation of jobs in the peasant agriculture sector, giving priority to young people and women and social and """"green"""" initiatives, improving access to credit for rural micro businesses and defining the characteristics of social enterprises and enhancing their contribution to the economic, social and cultural development of the territory",1,1,9602,2020,italy,"Senegal / Program of support for social enterprise and migrant initiative in the regions of Saint Louis, Louga and Thiès in Senegal",senegal,,africa,6486.56,5680.0,6486.56,Committed,Oda,cross-cutting,Grant,Industry,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The objective of the project lies in the immediate and progressive improvement of the social and health conditions of the villages, with particular attention to the health situation of young people, women and children, identifying the following main target categories: The Project stems from the perceived need by the beneficiaries to allow the whole community to improve their nutritional status by integrating their diet with the products that will be grown following the intervention and to make it easier to access basic health care and drinking water as well as the possibility of using renewable and sustainable energy sources.",1,1,9612,2020,italy,Senegal / Kaaral-Celal - Right to health: improvement of the socio-sanitary conditions of the population - Matam region,senegal,,africa,22834.86,19995.5,22834.86,Committed,Oda,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The orphanage welcomes about 70 children and awaits others from Syria and Iraq.,0,0,39126,2017,italy,"Lebanon / The project involves the construction of an external courtyard and a playground for leisure time in the Cardinal Agagianan orphanage house, as well as the renovation and installation of solar panels and systems. ",lebanon,,asia,157746.34,139921.0,157746.34,Committed,ODA,cross-cutting,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The overall Initiative aims at contributing to the Myanmar Peace Process through a multilateral contribution to the multi-donor trust fund Joint Peace Fund (JPF), managed by UNOPS. This proposal aims at to establish a fund, locally  managed, by AICS Yango",1,0,9486,2020,italy,Myanmar / Italian contribution to the Joint Peace Fund - Direct Management,myanmar,,asia,20360.14,17828.5,20360.14,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
The overall goal is improving the infrastructure of Kabala hospital to allow for greater efficiency in health care; ensure continuity of care and treatment at the hospital in Kabala by groups of volunteer doctors belonging to the association of the proponent and other project partners.The specific objective is to increase the effectiveness of Kabala Hospital both in direct medical interventions both in preventive medicine.,1,0,40230,2016,italy,Sierra Leone / Sierra Leone / Africa (South of Sahara) / Kabala hospital and its territory: strategies of recovery and functional rehabilitation,sierra leone,,africa,8846.62,8000.0,8846.62,Committed,ODA,cross-cutting,Grant,Other (Health Basic),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
