additional_information,action,environmental,id,year,reporting_party,recipient_country_region_project_programme,recipient,recipient_continent_or_region,assigned_geography,usd,euro,corrected_usd,status,funding_source,type_of_support,financial_instrument,sector,africa,latin_america_the_caribbean,north_america,middle_east,mediterranean,asia,europe,oceania,global,multicontinent_or_global,continent_unspecified,croatian_kuna,norwegian_krone,japanese_yen,danish_krone,british_pound,american_dollar,swiss_franc,australian_dollar,romanian_leu,swedish_krona,canadian_dollar,new_zealand_dollar,czech_koruna,bulgarian_lev,icelandic_krona,polish_zloty,hungarian_forint
"The aim of the program is to support handicfrafts and design value chains in Tunisia, promoting the local business sector and developping, synergies between the agriculture, tourism, handicraft, and cultural heritage.To this end, a series of activities ar",1,0,9750,2020,italy,Tunisia / Strengthening of the handicraft value chains and the design in Tunisia,tunisia,,africa,68520.0,60000.0,68520.0,Committed,Oda,adaptation,Grant,Industry,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The aim of the project 'to support, for many years, and grow a training center, where young unemployed of Siam Reap province can learn a trade and so become self-sufficient and financially support even their own families of belonging. It was created an iron workshop that, to date, self-sustaining, in addition, there are English classes for children aged 13 years and IT. The total number of students is 257. Among the 75 students have successfully completed their studies with the final exam.",1,0,40299,2016,italy,Cambodia / Cambodia / Asia (Far East Asia) / Saat School – Siem Reap Cambogia,cambodia,,asia,1758.27,1590.0,1758.27,Committed,ODA,cross-cutting,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The aim of the project is of increasing incomes of persons with disabilities through organic farming practices and making lasting and sustainable changes in the way participant populations including persons with disabilities do agriculture.  The project is proposed for 500 villages including 200 Gram Panchayats of five blocks of Betul, Chindwara, Hoshangabad, Khandwa & Harda districts of Madhya Pradesh. The intervention is expected to cover 36,000 rural community members including more than 12,000 persons with disabilities and their family members.",1,0,2924,2019,italy,India / Disability Inclusive Livelihood Initiative - Ujjawal - II,india,,asia,37177.36,33200.0,37177.36,Committed,Oda,cross-cutting,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
The aim of the project is to contribute to the elimination of sexual and gender violence  against womwn and girls inckluding cases of morbidity and maternal mortality,1,0,2982,2019,italy,Mali / Eradication of gender-based violence in evils through a holistic and integrated approach to provide quality services at national level,mali,,africa,678730.49,606117.6,678730.49,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The aim of the project is to contribute to the improvement of  the theoretical training as well as to the strengthening of the structural equipment of the Somali National University,1,0,9658,2020,italy,Somalia / Italian Support to the university education in Somalia 2019-2020,somalia,,africa,143700.14,125832.0,143700.14,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The aim of the project is to improve the nutritional conditions of 144 villages based in Garango and Tenkodogo, the Eastern region of Burkina Faso. The objectives and results pursued by this project are specular to the strategy described above: To reduce ",1,0,8883,2020,italy,"Burkina Faso / Improving nutritional security of women and children in the Heath Districts of Garango e Tenkodogo, Burkina Faso",burkina faso,,africa,240916.32,210960.0,240916.32,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The aim of the project is to increase youth and women's employment, encouraging decent work and increasing professional specialization among the most vulnerable categories of the local population. It is proposed to carry out professional training on innovative agricultural techniques in, the establishment of a business incubator and the organization of a conference in Pemba on the topic of youth employment.",1,0,9449,2020,italy,Mozambique / Training of young entrepreneurs,mozambique,,africa,19673.01,17226.8,19673.01,Committed,Oda,adaptation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The aim of this initiative is to support the effective and timely implementation of the current and planned initiatives of the Italian Development Cooperation Agency in the country, through the provision of the technical skills and resources necessary to ",1,0,8830,2020,italy,Bosnia And Herzegovina / Support for the management and monitoring of cooperation initiatives in Bosnia and Herzegovina,bosnia and herzegovina,,europe,167457.4,146635.2,167457.4,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
"The amount financed the research activities of PhD student of Nicaragua. The three-year program includes methodological, general and interdisciplinary courses within specific areas of law mentioned. Each month, also holds seminars, workshops and research meetings involving students Ph.D., professors of the course and outside guests. The career of each student and the progress of its research activities are reviewed regularly by the Teaching.",1,0,40691,2016,italy,Mexico / Mexico / America (North & Central America) / Financing of research activities at the International Maize and Wheat Improvement Center. ,mexico,,latin america and the caribbean,2211.66,2000.0,2211.66,Committed,ODA,adaptation,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The central role of SIF is that of contribute to the realization of infrastructure in order to develop the sector's institution capacity of regional governance and federal governance,0,0,3049,2019,italy,Somalia / Contribution to the Multi-Partner Somalia Infrastructure Trust Fund (SITF),somalia,,africa,895840.0,800000.0,895840.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The colors of  development: one brick at a time,0,0,40318,2016,italy,Burkina Faso / Burkina Faso / Africa (South of Sahara) / The colours of  development: one brick at a time,burkina faso,,africa,6546.5,5920.0,6546.5,Committed,ODA,cross-cutting,Grant,Other (Rural Development),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The construction of a training room, a refectory and dormitories for those who will benefit from training, crafts ateliers, some stalls and service rooms together with dormitory houses are planned.",1,0,39209,2017,italy,"Madagascar / Project for the construction of a center to train 6 families in need of agriculture, livestock and rural crafts, for the literacy of local adults, as well as for the training activities of groups and women's training (embroidery school and kitchen). ",madagascar,,africa,62527.62,55462.0,62527.62,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The construction of the l'Esperance agricultural training center is required with the aim of training for the improvement of the social, human and cultural conditions of young farmers who intend to remain in the area.",1,0,9737,2020,italy,Togo / Construction of the Esperance Agricultural Training Center,togo,,africa,98225.7,86012.0,98225.7,Committed,Oda,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The contribution has the purpose of supporting UN OCHA in providing humanitarian assistance to the most vulnerable population providing access to basic services and strengthening their coping mechanisms. The current Humanitarian Response Plan for 2020 focuses on addressing needs identified in the Humanitarian Needs Overview, in Area C, Hebron H2 and East Jerusalem in the West Bank and the Gaza Strip, targeting 1.5 million beneficiaries. Some activities that will be carried out within the framework of the project aim to respond to and / or mitigate the impact of the Covid19 Pandemic",1,0,9834,2020,italy,West Bank and Gaza Strip / Contribution to the Humanitarian Fund (HF) managed by UN OCHA oPt to respond to urgent humanitarian needs,,asia,asia,228400.0,200000.0,228400.0,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
The contribution is aimed at improving food security mainly in the Countries severely hit by the pandemic.,1,0,9054,2020,italy,"Developing countries, unspecified / FAO Voluntary Contribution 2020",,"developing countries, unspecified",continent_unspecified,2284000.0,2000000.0,2284000.0,Committed,Oda,adaptation,Grant,Agriculture,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,
"The contribution of the Italian Cooperation to UNMAS will strengthen the humanitarian demining response in Sudan, through activities that include assistance to the victims and Explosive Ordnance Disposal (EOD), as well as capacity building of national min",1,0,9694,2020,italy,Sudan / Strengthening the humanitarian mine action response in Sudan,sudan,,africa,228400.0,200000.0,228400.0,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
